Sector,Product group,Product,New cases,Uphold %
Banking and Payments,Banking Services,Being categorised,23,
Banking and Payments,Banking Services,CHAPS Payments,41,50%
Banking and Payments,Banking Services,Executorships or Trusteeships,30,<30
Banking and Payments,Banking Services,Foreign Currency,49,<30
Banking and Payments,Banking Services,International Transfers,477,31%
Banking and Payments,Banking Services,Safe Custody,32,<30
Banking and Payments,Being categorised,Being categorised,11,
Banking and Payments,Business Banking,Being categorised,<10,
Banking and Payments,Business Banking,Business Current Accounts,4091,27%
Banking and Payments,Business Banking,Business Overdrafts,212,25%
Banking and Payments,Business Banking,Merchant Services,774,30%
Banking and Payments,Business Lending,Being categorised,<10,
Banking and Payments,Business Lending,Bounce Back Loans (BBLS),450,18%
Banking and Payments,Business Lending,Business Loans (Not secured on land),548,25%
Banking and Payments,Business Lending,Commercial Mortgages,160,20%
Banking and Payments,Business Lending,Coronavirus Business Interruption Loans (CBILS),31,<30
Banking and Payments,Business Lending,Recovery Loans (RLS),<10,<30
Banking and Payments,Credit Card Accounts,Balance Transfers,213,35%
Banking and Payments,Credit Card Accounts,Being categorised,12,
Banking and Payments,Credit Card Accounts,Credit Cards,22783,28%
Banking and Payments,Payment Services,Account Information Services (Open Banking),33,<30
Banking and Payments,Payment Services,Being categorised,25,
Banking and Payments,Payment Services,Electronic Money (e-money),8933,28%
Banking and Payments,Payment Services,Money Remittance,172,26%
Banking and Payments,Payment Services,Payment Initiation Services (Open Banking),34,<30
Banking and Payments,Payment Services,Payment Instruments,187,31%
Banking and Payments,Payment Services,Payments Charged to Mobile Phone Bill,<10,
Banking and Payments,Payment Services,Pre-paid Cards,82,37%
Banking and Payments,Personal Bank Accounts,Being categorised,63,
Banking and Payments,Personal Bank Accounts,Cheques,224,31%
Banking and Payments,Personal Bank Accounts,Current Accounts,32907,28%
Banking and Payments,Personal Bank Accounts,Debit Cards,2192,25%
Banking and Payments,Personal Bank Accounts,Direct Debits,391,27%
Banking and Payments,Personal Bank Accounts,Online Banking,328,28%
Banking and Payments,Personal Bank Accounts,Overdrafts,5863,29%
Banking and Payments,Personal Bank Accounts,Packaged Bank Accounts,480,21%
Banking and Payments,Personal Bank Accounts,Standing Orders,48,22%
Banking and Payments,Savings,Being categorised,15,
